asset_id,source_file,category,sub_category,source_tool,source_project_or_url,generated_or_acquired_at,license_plan,license_evidence,target_state,target_trigger,target_bus,variant_group,loop,priority,status,notes
music_battle_coast,../audio/music/battlebgm1.ogg,music,battle_early,unknown_legacy,,,unknown,needs_license_evidence,normal_battle,survivor_playlist,Music,battle_normal,false,high,integrated,playlist slot 1
music_battle_coast_2,../audio/music/battlebgm2.ogg,music,battle_mid,unknown_legacy,,,unknown,needs_license_evidence,normal_battle,survivor_playlist,Music,battle_normal,false,high,integrated,playlist slot 2
music_ace_battle_01,10_music/ace_battle/ace_midnight_march_a.wav,music,ace_battle,Suno,,,paid_member_commercial_use,needs_project_link_and_membership_evidence,ace_battle,ace_battle_bar_shown,Music,ace_battle,false,high,integrated,original Midnight March.wav; 210.52s 48k stereo 16-bit; runtime audio/music/ace_battle_01.ogg
music_ace_battle_02,10_music/ace_battle/ace_midnight_march_b_short.wav,music,ace_battle,Suno,,,paid_member_commercial_use,needs_project_link_and_membership_evidence,ace_battle,ace_battle_bar_shown,Music,ace_battle,false,high,integrated,original Midnight March(1).wav; 42.64s 48k stereo 16-bit; runtime audio/music/ace_battle_02.ogg
music_ace_battle_03,10_music/ace_battle/ace_midnight_march_c.wav,music,ace_battle,Suno,,,paid_member_commercial_use,needs_project_link_and_membership_evidence,ace_battle,ace_battle_bar_shown,Music,ace_battle,false,high,integrated,original Midnight March(2).wav; 210.52s 48k stereo 16-bit; runtime audio/music/ace_battle_03.ogg
music_ace_battle_04,10_music/ace_battle/ace_midnight_swing.wav,music,ace_battle,Suno,,,paid_member_commercial_use,needs_project_link_and_membership_evidence,ace_battle,ace_battle_bar_shown,Music,ace_battle,false,high,integrated,original Midnight Swing.wav; 147.64s 48k stereo 16-bit; runtime audio/music/ace_battle_04.ogg
music_main_menu,10_music/menu_meta/main_menu_airflow_smoke_drums.wav,music,menu_meta,Suno,,,paid_member_commercial_use,needs_project_link_and_membership_evidence,main_menu,main_menu_ready,Music,main_menu,true,high,integrated,original 气流硝烟鼓点.wav; 113.56s 48k stereo 16-bit; runtime audio/music/main_menu.ogg
music_boss_shared,../audio/music/bossbattle.ogg,music,boss_battle,unknown_legacy,,,unknown,needs_license_evidence,boss_battle,F47_Wraith_HyperA,Music,boss_shared,true,high,integrated,shared by multiple bosses pending distinct identities
music_boss_csg_phase1,../audio/music/boss2phase1.ogg,music,boss_battle,unknown_legacy,,,unknown,needs_license_evidence,boss_phase_1,carrier_strike_group,Music,boss_csg,true,high,integrated,synchronized layer 1
music_boss_csg_phase2,../audio/music/boss2phase2.ogg,music,boss_battle,unknown_legacy,,,unknown,needs_license_evidence,boss_phase_2,carrier_strike_group,Music,boss_csg,true,high,integrated,synchronized layer 2
music_mothergoose_1,../audio/music/mothergoose1.ogg,music,boss_battle,unknown_legacy,,,unknown,needs_license_evidence,boss_battle,mother_goose_playlist,Music,boss_mothergoose,false,high,integrated,playlist slot 1
music_mothergoose_2,../audio/music/mothergoose2.ogg,music,boss_battle,unknown_legacy,,,unknown,needs_license_evidence,boss_battle,mother_goose_playlist,Music,boss_mothergoose,false,high,integrated,playlist slot 2
sfx_gun_fire,../audio/sfx/Mini_Gun_Burst.wav,world_sfx,weapons,unknown_legacy,,,unknown,needs_license_evidence,combat,normal_gun_burst,SFX,gun_fire,false,high,integrated,48k stereo 1.73s
sfx_gun_long,../audio/sfx/Vulcan_Mini_Gun_Long_Burst_Medium_Distance.wav,world_sfx,weapons,unknown_legacy,,,unknown,needs_license_evidence,combat,multibarrel_gun_burst,SFX,gun_fire,false,high,integrated,48k stereo 5.58s
sfx_missile_launch_01,../audio/sfx/Missile_Launch_01.wav,world_sfx,weapons,unknown_legacy,,,unknown,needs_license_evidence,combat,missile_launch,SFX,missile_launch,false,high,integrated,48k stereo 4.41s randomized A
sfx_missile_launch_02,../audio/sfx/Missile_Launch_02.wav,world_sfx,weapons,unknown_legacy,,,unknown,needs_license_evidence,combat,missile_launch,SFX,missile_launch,false,high,integrated,48k stereo 6.26s randomized B
sfx_missile_pass_01,../audio/sfx/Missile_Pass_By_01.wav,world_sfx,weapons,unknown_legacy,,,unknown,needs_license_evidence,combat,no_runtime_trigger,SFX,missile_pass,false,medium,registered_unused,48k stereo 5.02s
sfx_missile_pass_02,../audio/sfx/Missile_Pass_By_02.wav,world_sfx,weapons,unknown_legacy,,,unknown,needs_license_evidence,combat,no_runtime_trigger,SFX,missile_pass,false,medium,registered_unused,48k stereo 3.51s
sfx_bomb_distant_01,../audio/sfx/Bomb_Distant_01.wav,world_sfx,impacts_destruction,unknown_legacy,,,unknown,needs_license_evidence,combat,missile_and_shell_impact,SFX,explosion,false,high,integrated,48k stereo 7.52s randomized A
sfx_bomb_distant_02,../audio/sfx/Bomb_Distant_02.wav,world_sfx,impacts_destruction,unknown_legacy,,,unknown,needs_license_evidence,combat,missile_impact,SFX,explosion,false,high,integrated,48k stereo 3.77s randomized B
sfx_bomb_distant_03,../audio/sfx/Bomb_Distant_03.wav,world_sfx,impacts_destruction,unknown_legacy,,,unknown,needs_license_evidence,combat,missile_impact,SFX,explosion,false,high,integrated,48k stereo 7.52s randomized C
sfx_bomb_distant_04,../audio/sfx/Bomb_Distant_04.wav,world_sfx,impacts_destruction,unknown_legacy,,,unknown,needs_license_evidence,combat,missile_impact,SFX,explosion,false,high,integrated,48k stereo 7.52s randomized D
sfx_engine_f16_02,../audio/sfx/F-16_Fighting Falcon_ Medium_Distance_02.wav,world_sfx,aircraft,unknown_legacy,,,unknown,needs_license_evidence,flight,player_engine_loop,SFX,engine_f16,true,high,integrated,48k stereo 30.31s current player engine
sfx_engine_f16_03,../audio/sfx/F-16_Fighting Falcon_ Medium_Distance_03.wav,world_sfx,aircraft,unknown_legacy,,,unknown,needs_license_evidence,flight,no_runtime_trigger,SFX,engine_f16,false,low,registered_unused,48k stereo 14.74s
sfx_engine_f16_04,../audio/sfx/F-16_Fighting Falcon_ Medium_distance_04.wav,world_sfx,aircraft,unknown_legacy,,,unknown,needs_license_evidence,flight,no_runtime_trigger,SFX,engine_f16,false,low,registered_unused,48k stereo 11.99s
