keys,zh,en,ja
HUD_XP_REMAINING,距升级,XP LEFT,次LVまで
HUD_EVOLUTION_READY_SHORT,进化,EVO,進化
MENU_TITLE,A G L,A G L,A G L
MENU_SUBTITLE,AIR  GROUND  LINK  //  俯视战斗机模拟,AIR  GROUND  LINK  //  Top-Down Fighter Sim,AIR  GROUND  LINK  //  トップダウン戦闘機シム
MENU_MODE_LABEL,[ 选择模式 ],[ Select Mode ],[ モード選択 ]
MENU_MODE_SANDBOX_NAME,沙盒测试,Sandbox,サンドボックス
MENU_MODE_SANDBOX_DESC,自由飞行 / 武器测试 / AI 对战,Free Flight / Weapons / AI Dogfight,フリーフライト / 武器テスト / AI 戦闘
MENU_MODE_SURVIVOR_NAME,生存模式,Survival,サバイバル
MENU_MODE_SURVIVOR_DESC,推进战区 / 升级战机 / 击败 BOSS,Advance Zones / Upgrade / Defeat the Boss,戦区進攻 / 強化 / BOSS撃破
MENU_MODE_MISSION_NAME,任务模式,Campaign,キャンペーン
MENU_MODE_MISSION_DESC,即将推出,Coming Soon,近日公開
MENU_VERSION,v0.1.0-dev  //  Godot 4.7  //  GL Compatibility,v0.1.0-dev  //  Godot 4.7  //  GL Compatibility,v0.1.0-dev  //  Godot 4.7  //  GL Compatibility
MENU_ACCESS_LABEL,访问级别,ACCESS LEVEL,アクセス権限
MENU_TERMINAL_READY,内部 / 就绪,INTERNAL / READY,内部 / READY
MENU_SYSTEM_LABEL,战术态势,TACTICAL DISPLAY,戦術表示
MENU_TERMINAL_SETTINGS_LABEL,终端设置,TERMINAL SETTINGS,端末設定
MENU_SYSTEM_LOG_LABEL,系统记录,SYSTEM LOG,システムログ
STATE_ON,开,ON,ON
STATE_OFF,关,OFF,OFF
HUD_HEADING_FMT,HDG %03d  M%.2f%s,HDG %03d  M%.2f%s,HDG %03d  M%.2f%s
HUD_STALL,  STALL,  STALL,  STALL
HUD_MISSILE_WARNING,!! 导弹来袭 !!,!! MISSILE !!,!! ミサイル接近 !!
HUD_KILLS_FMT,击杀: %d,Kills: %d,撃墜: %d
HUD_LEVEL_FMT,LV %d    %d / %d,LV %d    %d / %d,LV %d    %d / %d
HUD_GAMEOVER_TITLE,[ GAME OVER ],[ GAME OVER ],[ GAME OVER ]
HUD_GAMEOVER_LEVEL_FMT,等级: %d,Level: %d,レベル: %d
HUD_GAMEOVER_TIME_FMT,存活时间: %02d:%02d,Survived: %02d:%02d,生存時間: %02d:%02d
HUD_GAMEOVER_KILLS_FMT,击杀数: %d,Kills: %d,撃墜数: %d
HUD_GAMEOVER_HINT,按 ESC 返回主菜单,Press ESC to return to main menu,ESC でメインメニューへ
HUD_GAMEOVER_MERIT_FMT,功勋  +%d,Merit  +%d,功勲  +%d
HUD_GAMEOVER_MERIT_DETAIL_FMT,（本局经验 %d  ·  账户合计 %d）,(Run XP %d  ·  Total %d),（本戦経験 %d  ·  累計 %d）
MENU_MERIT_LABEL,功勋,Merit,功勲
TACTIC_HEADER,[ 战术 ],[ TACTICS ],[ 戦術 ]
TACTIC_MISSILE_PRIORITY,T 导弹优先,T Missile Priority,T ミサイル優先
TACTIC_GUN_PRIORITY,T 机炮优先,T Gun Priority,T ガン優先
TACTIC_CLIMB_PRIORITY,Q 爬升优先,Q Climb High,Q 高高度優先
TACTIC_LOW_ALT,Q 低空优先,Q Fly Low,Q 低空優先
TACTIC_EVADE_FMT,E 加力: %s,E Afterburner: %s,E アフターバーナー: %s
AB_STATE_READY,就绪,READY,準備完了
AB_STATE_CHARGING_FMT,充能 %d%%,CHG %d%%,充填 %d%%
AB_STATE_ACTIVE_FMT,%.1fs,%.1fs,%.1fs
TACTIC_AUTOFIRE_FMT,F 自动发射: %s,F Auto-Fire: %s,F 自動発射: %s
TACTIC_AUTO_ENGAGE_FMT,自动交战: %s,Auto-Engage: %s,自動交戦: %s
SQUAD_HEADER,[ 小队指挥 ],[ SQUAD CMD ],[ 小隊指揮 ]
SQUAD_FORMATION_FMT,5 阵型: %s,5 Formation: %s,5 編隊: %s
SQUAD_ENGAGE_FMT,C 交战: %s,C Engage: %s,C 交戦: %s
SQUAD_WEAPON_FMT,V 武器: %s,V Weapon: %s,V 武器: %s
SQUAD_ENGAGE_FREE,自由交战,Free Engage,自由交戦
SQUAD_ENGAGE_FOLLOW,跟随长机,Follow Leader,リーダー追従
SQUAD_ENGAGE_GUARD,守护后方,Guard Rear,後方警戒
SQUAD_BERSERK_SWITCH_BLOCKED,狂化病毒：无法主动接管僚机,BERSERK VIRUS: Wingman control denied,狂化ウイルス：僚機への操作切替不可
SQUAD_BERSERK_FREE_LOCKED,狂化病毒：已锁定自由交战,BERSERK VIRUS: Free Engage locked,狂化ウイルス：自由交戦に固定
WEAPON_PREF_MISSILE,导弹优先,Missile Priority,ミサイル優先
WEAPON_PREF_GUN,机炮优先,Gun Priority,ガン優先
WEAPON_GUN,机炮,Gun,ガン
WEAPON_MISSILE,导弹,Missile,ミサイル
WEAPON_ROCKET,火箭弹,Rocket,ロケット
WEAPON_AOE,爆炸,Blast,爆発
WEAPON_CRASH,坠地,Crash,墜落
WEAPON_FLARE,热诱弹,Flares,フレア
WEAPON_SECONDARY,副导弹,Secondary missiles,サブミサイル
FORMATION_COMBAT_SPREAD,战斗展开,Combat Spread,コンバットスプレッド
FORMATION_WEDGE,楔形编队,Wedge,ウェッジ
FORMATION_ECHELON,梯形编队,Echelon,エシュロン
FORMATION_TRAIL,纵列编队,Trail,トレイル
FORMATION_FINGER_FOUR,指尖四点,Finger Four,フィンガーフォー
FORMATION_FLUID_FOUR,流体四机,Fluid Four,フルードフォー
FORMATION_UNKNOWN,未知,Unknown,不明
