keys,zh,en,ja
ARCHIVE_TITLE,[ 资料库 ],[ ARCHIVE ],[ 資料庫 ]
ARCHIVE_TAB_ENEMY,敌人图鉴,Enemy Codex,敵機名鑑
ARCHIVE_TAB_INFO,游戏信息,Game Info,ゲーム情報
INFO_SUBTITLE,操作、机制、战术——这局你需要知道的一切。,"Controls, mechanics, tactics — everything you need to know.",操作・システム・戦術——知っておくべきすべて。
INFO_BADGE_TIP,情报,INTEL,情報
INFO_SECTION_MOUSE,── 鼠标操作 ──,── MOUSE ──,── マウス操作 ──
INFO_SECTION_KEYS,── 键盘 ──,── KEYBOARD ──,── キーボード ──
INFO_SECTION_SQUAD,── 小队指挥 ──,── SQUAD COMMAND ──,── 小隊指揮 ──
INFO_SECTION_FLIGHT,── 飞行与机动 ──,── FLIGHT ──,── 飛行と機動 ──
INFO_SECTION_WEAPON,── 武器与交战 ──,── WEAPONS ──,── 武装と交戦 ──
INFO_SECTION_RUN,── 一局怎么打 ──,── THE RUN ──,── 一戦の流れ ──
INFO_SECTION_INTEL,── 战场情报 ──,── INTEL ──,── 戦場情報 ──
INFO_LMB_MOVE_TITLE,点击空域：移动,Click empty space: move,空域をクリック：移動
INFO_LMB_MOVE_BODY,"点地图上任意位置，当前操控的飞机会自主转弯飞过去。你只下达""去哪""，转弯与速度由飞机自己按物理解算——这是本作的基本操作方式。",Click anywhere and the aircraft you control turns and flies there on its own. You give the destination; the jet solves the turn and the speed itself — that is the core of how this game is flown.,任意の地点をクリックすると、操作中の機体が自ら旋回して向かう。指示するのは「行き先」だけで、旋回も速度も機体が物理的に解く——それが本作の基本操作だ。
INFO_LMB_TARGET_TITLE,点击敌人：点名攻击,Click an enemy: assign target,敵をクリック：目標指定
INFO_LMB_TARGET_BODY,点敌方单位即把它设为交战目标。**玩家点名的目标是铁律**——AI 绝不会自作主张换掉它，直到目标被击毁或你另下命令。,Clicking a hostile assigns it as your combat target. **A player-assigned target is law** — the AI will never override it until the target dies or you order otherwise.,敵ユニットをクリックすると交戦目標に設定される。**プレイヤーが指定した目標は絶対**——撃墜するか別命令を出すまで AI が勝手に変更することはない。
INFO_LMB_DOUBLE_TITLE,双击敌人：冲锋,Double-click an enemy: charge,敵をダブルクリック：突撃
INFO_LMB_DOUBLE_BODY,对同一敌人快速点两下 = 冲锋突击：强制切机炮、屏蔽导弹自动发射，直接压上去打近战。,"Double-click a hostile to charge it: forces guns, suppresses missile auto-fire, and closes straight in.",同じ敵を素早く二度クリックで突撃：強制的にガンへ切り替え、ミサイル自動発射を抑止して接近戦を挑む。
INFO_LMB_WHEEL_TITLE,按住拖拽：命令轮盘,Hold and drag: command wheel,長押しドラッグ：コマンドホイール
INFO_LMB_WHEEL_BODY,按住左键拖出方向即呼出轮盘（期间时间放慢）。按在空地=小队命令轮盘，按在敌机=攻击轮盘。**轮盘命令永远对全队生效**，单点则只指挥当前操控机。松开前按右键可中止。,"Hold LMB and drag to open a marking menu (time slows while it is open). On empty space it is the squad wheel; on a hostile it is the attack wheel. **Wheel orders always apply to the whole squad**, while a single click commands only the jet you fly. Press RMB before releasing to abort.",左ボタンを長押しして方向へドラッグするとホイールが開く（その間は時間が減速）。空域なら小隊コマンド、敵機なら攻撃コマンド。**ホイールの命令は常に全機へ**、単クリックは操作中の機体のみ。離す前に右クリックで中止。
INFO_RMB_CANCEL_TITLE,右键：解除任务,RMB: clear order,右クリック：任務解除
INFO_RMB_CANCEL_BODY,取消当前的移动/攻击指令，飞机保持航向自由飞行。轮盘手势中按右键则是中止轮盘。,"Cancels the current move/attack order; the jet keeps its heading and flies free. During a wheel gesture, RMB aborts the wheel instead.",現在の移動／攻撃命令を解除し、機体は針路を保ったまま自由飛行に戻る。ホイール操作中の右クリックはホイールの中止。
INFO_RMB_BRAKE_TITLE,长按右键：急刹,Hold RMB: hard brake,右長押し：急制動
INFO_RMB_BRAKE_BODY,按住右键让**全队**一起减速，松开恢复。刹车有失速软地板，减到最小可控速度为止——**不可能靠减速把自己刹到坠机**。想咬住转弯的目标时，减速往往比硬拉杆更有效。,"Holding RMB decelerates the **whole squad**; release to resume. The brake floors out just above stall — **you can never brake yourself into a crash**. To out-turn something, slowing down usually beats yanking harder.",右ボタン長押しで**全機**が減速、離せば復帰。制動には失速手前のソフトフロアがあり、**減速で墜落することはない**。旋回で食らいつくには、無理に引くより減速が有効なことが多い。
INFO_CAMERA_TITLE,镜头：平移与缩放,Camera: pan and zoom,カメラ：移動とズーム
INFO_CAMERA_BODY,WASD 或按住中键拖动可自由平移视野，滚轮缩放。看远了想回来，按空格重新锁定跟随自机。,WASD or middle-drag pans the view freely; the wheel zooms. Press Space to re-lock the camera on your aircraft.,WASD または中ボタンドラッグで視点を自由移動、ホイールでズーム。スペースで自機追尾に復帰。
INFO_KEY_NUM_TITLE,切换操控的飞机,Switch which jet you fly,操作機の切替
INFO_KEY_NUM_BODY,数字键切换到对应号机，直接接管它。原本操控的那架会交给 AI，并把手上的任务打完再归队。你的点名目标是逐机保存的，切回来时还在。,"Number keys take over the corresponding wingman. The jet you leave goes back to the AI and finishes its current job before rejoining. Assigned targets are kept per aircraft, so they are still there when you switch back.",数字キーで対応する僚機に乗り移る。手放した機体は AI に戻り、進行中の任務を終えてから編隊に復帰する。指定目標は機体ごとに保持され、戻れば残っている。
INFO_KEY_E_TITLE,加力模式,Afterburner mode,アフターバーナーモード
INFO_KEY_E_BODY,全队进入极速冲刺：**机炮打不中你**（100% 闪避）、导弹极难命中（靠滚转甩脱），代价是**期间不能攻击**。这是脱离险境与抢占位置的保命键，不是输出键。\n能量池上限 6 秒，被动回充约 30 秒充满，每次击杀 +0.8 秒，开局满格。**有能量就能启动**，不必等满；激活中再按一次可提前关闭、保住剩余能量。,"The whole squad sprints: **cannon fire cannot touch you** (100% dodge) and missiles are shaken off by rolling — at the price of **not being able to attack** while it lasts. It is an escape-and-reposition button, not a damage button.\nThe pool holds 6 seconds, refills passively in about 30, and gains +0.8s per kill; you start a run with a full tank. **Any charge is enough to start** — press again to end early and bank the rest.",全機が全速スプリントに入る：**機関砲は当たらず**（回避100%）、ミサイルもロールで振り切る。代償は**発動中は攻撃できない**こと。撃つためではなく、離脱と位置取りのためのキーだ。\nエネルギーは上限6秒、自然回復で約30秒、撃墜ごとに+0.8秒、開始時は満タン。**残量があれば発動可能**で、もう一度押せば早期終了して残りを温存できる。
INFO_KEY_R_TITLE,手动机动,Manual maneuver,手動機動
INFO_KEY_R_BODY,释放当前已获得的规避机动：眼镜蛇、J-Turn 或胆大妄为。三者互相排斥，拿到一个后另两个不再出现。眼镜蛇/J-Turn **无需先开加力**；没有对应技能或冷却中时按下无效。,"Triggers your acquired evasive maneuver: Cobra, J-Turn, or Reckless Abandon. The three are mutually exclusive; taking one removes the other two from the pool. Cobra and J-Turn **do not require Afterburner**. The key does nothing without a maneuver or while it is cooling down.",取得した回避機動（コブラ・Jターン・大胆不敵）を発動。3つは相互排他で、1つ取得すると残りは出現しない。コブラ/Jターンは**AB不要**。未取得またはクールダウン中は無効。
INFO_KEY_F_TITLE,导弹自动发射,Missile auto-fire,ミサイル自動発射
INFO_KEY_F_BODY,开关自机的导弹自动发射。关掉后即使锁定完成也不会自己射，适合攒弹打关键目标。,"Toggles automatic missile launch for your jet. With it off, a completed lock will not fire on its own — useful for saving shots for a target that matters.",自機のミサイル自動発射を切替。オフならロック完了でも自動発射せず、重要目標に温存できる。
INFO_KEY_Q_TITLE,高度偏好,Altitude preference,高度選好
INFO_KEY_Q_BODY,"切换自机偏好爬升还是压低空。高低空各有优劣（见""飞行与机动""）。",Toggles whether your jet prefers to climb or stay low. Both have trade-offs — see the Flight section.,自機が上昇を好むか低空を保つかを切替。高低それぞれ利点がある（「飛行と機動」参照）。
INFO_KEY_T_TITLE,武器优先,Weapon priority,武装優先
INFO_KEY_T_BODY,切换自机优先用导弹还是机炮。导弹打光时会自动改用机炮。,Toggles whether your jet reaches for missiles or guns first. It falls back to guns automatically when missiles run dry.,自機がミサイルとガンのどちらを優先するか切替。ミサイルが尽きれば自動でガンに切り替わる。
INFO_KEY_C_TITLE,小队交战姿态,Squad engagement stance,小隊交戦姿勢
INFO_KEY_C_BODY,循环切换僚机的交战方式：自由交战 / 跟随编队 / 守护长机。,"Cycles how your wingmen fight: engage freely, hold formation, or guard the leader.",僚機の戦い方を循環切替：自由交戦／編隊追従／長機護衛。
INFO_KEY_V_TITLE,小队武器偏好,Squad weapon priority,小隊武装優先
INFO_KEY_V_BODY,统一切换全体僚机偏好导弹还是机炮。,Sets missile-or-gun preference for the whole flight at once.,僚機全機のミサイル／ガン優先を一括で切替。
INFO_KEY_TAB_TITLE,战术地图,Tactical map,戦術マップ
INFO_KEY_TAB_BODY,打开战区全图（游戏暂停）：查看战区目标与奖励、当前升级、三轴属性与机体数据。战区悬停可看任务与奖励详情。,"Opens the theater map and pauses the game: zone objectives and rewards, your current upgrades, the three attribute axes and airframe data. Hover a zone for its mission and reward details.",戦域マップを開き一時停止：エリア目標と報酬、取得済み強化、三軸ステータスと機体データを確認できる。エリアにカーソルを合わせると任務と報酬の詳細が出る。
INFO_KEY_SPACE_TITLE,镜头归位,Recenter camera,カメラ復帰
INFO_KEY_SPACE_BODY,镜头平滑飞回当前操控机并恢复跟随。,Smoothly returns the camera to the jet you control and resumes following it.,カメラが操作機へ滑らかに戻り、追尾を再開する。
INFO_KEY_ESC_TITLE,暂停菜单,Pause menu,ポーズメニュー
INFO_KEY_ESC_BODY,打开暂停菜单（冻结全场）。战术地图打开时按 ESC 则是关闭地图。,"Opens the pause menu and freezes everything. If the tactical map is open, ESC closes the map instead.",ポーズメニューを開き全体を停止。戦術マップが開いている場合は ESC でマップを閉じる。
INFO_SQUAD_GRAMMAR_TITLE,一条操作语法：单点管自己，轮盘管全队,"One rule: click commands you, wheel commands everyone",操作の原則：単クリックは自機、ホイールは全機
