keys,zh,en,ja
RADIO_SPEAKER_ENEMY_COMMAND,敌指挥部,ENEMY COMMAND,敵司令部
RADIO_TARGET_GENERIC,目标,the target,目標
RADIO_SPLASH_1,击落一架！,Splash one!,一機撃墜！
RADIO_SPLASH_2,目标击落，干得漂亮。,Target down. Nice work.,目標撃墜。よくやった。
RADIO_SPLASH_3,又少了一个。,Scratch one more.,また一機減った。
RADIO_SPLASH_4,命中确认，目标解体。,Hit confirmed. He's coming apart.,命中確認、目標分解。
RADIO_SPLASH_5,命中，打得好！,Good kill! Good kill!,命中、よくやった！
RADIO_EJECT_1,我中弹了！准备弹射！,I'm hit! Ejecting!,被弾！ベイルアウトする！
RADIO_EJECT_2,操纵失效……我要跳了！,Controls are gone... I'm punching out!,操縦不能……脱出する！
RADIO_EJECT_3,不行了，我出去了！,Can't hold her! Bailing out!,もう保たない、脱出！
RADIO_EJECT_4,发动机着火，弹射弹射弹射！,Engine's on fire — eject eject eject!,エンジン火災、ベイルアウト！
RADIO_EJECT_FRIENDLY_5,座舱起火，我——,"Cockpit's on fire, I—",コックピットが燃えてる、俺は——
RADIO_EJECT_ENEMY_5,后面的就交给——,Leave the rest to—,後は任せた——
RADIO_BREAK_1,导弹！break break break！,Missile inbound! Break break break!,ミサイル！ブレイク ブレイク！
RADIO_BREAK_2,被咬住了，正在规避！,He's on me! Evading!,喰いつかれた、回避中！
RADIO_BREAK_3,来袭导弹，我在甩！,Inbound missile — shaking him off!,ミサイル接近、振り切る！
RADIO_BREAK_4,六点钟导弹，规避！,Missile at six o'clock — evade!,6時方向からミサイル、回避！
RADIO_BREAK_5,导弹逼近！,Missile closing!,ミサイル接近！
RADIO_AFTERBURNER_1,加力中！,Afterburning!,アフターバーナー点火！
RADIO_AFTERBURNER_2,加力全开！,Burners full!,アフターバーナー全開！
RADIO_AFTERBURNER_3,推满油门。,Full throttle.,スロットル最大。
RADIO_JOIN_1,归队完毕，听候指示。,Joining up. Awaiting orders.,編隊に合流、指示を待つ。
RADIO_JOIN_2,已就位，我在你右后方。,In position. On your right wing.,配置完了、右後方につく。
RADIO_JOIN_3,增援到位，我掩护你。,Reinforcement on station. I've got your back.,増援到着、援護する。
RADIO_ACK_PURSUE_1_FMT,收到，正在追击 %s。,Roger. Pursuing %s.,了解、%s を追撃する。
RADIO_ACK_PURSUE_2_FMT,咬住 %s 了，开始交战。,Locked onto %s. Engaging.,%s を捕捉、交戦開始。
RADIO_ACK_PURSUE_3,我来对付他。,I'll take him.,あいつは俺がやる。
RADIO_ACK_STRIKE_1_FMT,收到，锁定 %s，发起打击。,Roger. Locked on %s — commencing strike.,了解、%s を捕捉、攻撃を開始する。
RADIO_ACK_STRIKE_2_FMT,进入攻击航路，打击 %s。,Rolling in on %s.,攻撃コースに入る、%s を叩く。
RADIO_ACK_SURROUND_1_FMT,明白，正在包围 %s。,Copy. Surrounding %s.,了解、%s を包囲する。
RADIO_ACK_SURROUND_2_FMT,分散包抄 %s，切断退路。,Splitting to flank %s. Cutting off his escape.,展開して %s を挟撃、退路を断つ。
RADIO_ACK_COVER_1,收到，正在掩护你。,Roger. Covering you.,了解、援護に入る。
RADIO_ACK_COVER_2,进入防区，这片天空归我们。,On station. This airspace is ours.,防空区域に到達、この空域は我々のものだ。
RADIO_ACK_REGROUP_1,收到，正在向集合点靠拢。,Copy. Regrouping on your position.,了解、集合点へ向かう。
RADIO_ACK_REGROUP_2,全速归队中。,Forming up at full throttle.,全速で編隊に戻る。
RADIO_ACK_EVAC_1,明白，脱离中！,Understood — clearing the area!,了解、離脱する！
RADIO_ACK_EVAC_2,正在撤出该区域。,Evacuating the zone.,当該区域から退避中。
RADIO_ATTRITION_T1_1,我们遭遇敌方战斗机，请求支援。,We have hostile fighters. Requesting support.,敵戦闘機と接触、支援を要請する。
RADIO_ATTRITION_T1_2,报告接触，敌机火力凶猛。,Contact report — enemy fire is heavy.,接敵報告、敵の火力が激しい。
RADIO_ATTRITION_T1_3,不是一般的敌机——,That's no ordinary fighter—,並の敵機じゃない——
RADIO_ATTRITION_T2_1,我们正在承受巨大损失！,We are taking heavy losses!,甚大な損害を受けている！
RADIO_ATTRITION_T2_2,多个编队失去联络，重复，失去联络。,Multiple flights are off the net. Repeat — off the net.,複数の編隊と連絡途絶、繰り返す、連絡途絶。
RADIO_ATTRITION_T2_3,我们的阵线被撕开了！,Our line has been torn open!,戦線を切り裂かれた！
RADIO_ATTRITION_T3_1,防线崩溃了！我们撑不住了！,The line has collapsed! We can't hold!,戦線が崩壊した！保たない！
