keys,zh,en,ja
UPGRADE_HEADER,[ 选择升级 ],[ Select Upgrade ],[ アップグレード選択 ]
UPGRADE_CATEGORY_COMBAT_PREFIX,[战斗] ,[Combat] ,[戦闘]
UPGRADE_CATEGORY_SURVIVAL_PREFIX,[生存] ,[Survival] ,[生存]
UPGRADE_AXIS_SURVIVAL_PREFIX,[生存] ,[Survival] ,[生存]
UPGRADE_AXIS_MOBILITY_PREFIX,[机动] ,[Mobility] ,[機動]
UPGRADE_AXIS_MISSILE_PREFIX,[导弹] ,[Missile] ,[ミサイル]
UPGRADE_AXIS_SECONDARY_PREFIX,[副武器] ,[Secondary] ,[副武装]
UPGRADE_AXIS_EW_PREFIX,[电子战] ,[EW] ,[電子戦]
UPGRADE_HP_UP_NAME,装甲强化,Armor Plating,装甲強化
UPGRADE_HP_UP_DESC,最大HP +30（每层）,Max HP +30 per stack,最大HP+30/層
UPGRADE_BULLET_DODGE_NAME,闪避机动,Evasive Maneuvering,回避機動
UPGRADE_BULLET_DODGE_DESC,机炮闪避 +20%,Gun dodge +20%,機関砲回避+20%
UPGRADE_SPEED_UP_NAME,引擎强化,Engine Boost,エンジン強化
UPGRADE_SPEED_UP_DESC,最大速度 +20%，加速 +10%（每层）,Max speed +20%; acceleration +10% (per stack),最大速度+20%・加速+10%/層
UPGRADE_MANEUVER_UP_NAME,飞控升级,Flight Control,飛行制御強化
UPGRADE_MANEUVER_UP_DESC,滚转速率 +30%，持续G +1.5，结构G +1.5（每层）,Roll rate +30%; sustained G +1.5; structural G +1.5 (per stack),ロールレート+30%・持続G+1.5・構造G+1.5/層
UPGRADE_FLARE_COOLDOWN_NAME,红外对抗优化,IR Countermeasure,IR対策最適化
UPGRADE_FLARE_COOLDOWN_DESC,热诱弹冷却时间 -20%,Flare Cooldown -20%,フレアクールダウン -20%
UPGRADE_FLARE_SHIELD_NAME,电子对抗套件,ECM Suite,ECMスイート
UPGRADE_FLARE_SHIELD_DESC,热诱弹 +2；释放时解除全部敌方锁定，并在 3 秒内免疫锁定,+2 flares; releasing them breaks all enemy locks and grants 3s lock immunity,フレア+2・使用時に全敵ロックを解除し3秒間ロック無効
UPGRADE_PILOT_STAMINA_NAME,体能强化,Pilot Stamina,体力強化
UPGRADE_PILOT_STAMINA_DESC,飞行员耐力上限×2，恢复速率×2,"Stamina cap ×2, recovery ×2",スタミナ上限×2、回復×2
UPGRADE_KILL_HEAL_NAME,战场急救,Battlefield First Aid,戦場救護
UPGRADE_KILL_HEAL_DESC,击杀敌机时回复 5 HP,Restore 5 HP per kill,撃墜ごとにHP5回復
UPGRADE_ARMOR_UP_NAME,复合装甲,Composite Armor,複合装甲
UPGRADE_ARMOR_UP_DESC,机炮伤害 -55%，导弹伤害 -38%,Gun damage -55%; missile damage -38%,機関砲ダメージ-55%・ミサイルダメージ-38%
UPGRADE_STEALTH_POD_NAME,强化吊舱,Stealth Pod,ステルスポッド
UPGRADE_STEALTH_POD_DESC,降低雷达反射截面，敌人锁定你所需的时间显著延长,Reduces radar signature — enemies take significantly longer to lock you,レーダー反射面を低減、敵のロック所要時間が大幅に延長
UPGRADE_XP_MULT_NAME,经验倍率,XP Multiplier,経験値倍率
UPGRADE_XP_MULT_DESC,击杀经验 +20%（每层，最多 +40%）,Kill XP +20% per stack (max +40%),撃墜経験値+20%/層（最大+40%）
UPGRADE_RADAR_ANGLE_NAME,广角扫描,Wide Scan,広角スキャン
UPGRADE_RADAR_ANGLE_DESC,雷达扫描扇形更宽，侧前方目标也能捕捉,Wider radar scan — side targets now detectable,レーダー走査範囲が拡大、側方の目標も捕捉可能
UPGRADE_SEEKER_FOV_NAME,广角导引头,Wide Seeker,広角シーカー
UPGRADE_SEEKER_FOV_DESC,导弹导引头视野更宽，目标大角度机动时也难以脱锁,Wider missile seeker — targets harder to shake off with sharp maneuvers,ミサイルシーカー視野拡大、目標の大角度機動にも追従
UPGRADE_GUN_ACCURACY_NAME,枪械精度,Gun Accuracy,機銃精度
UPGRADE_GUN_ACCURACY_DESC,机炮散布 -20%、瞄准精度 +18%、子弹存留时间 +20%（每层）,Gun spread -20%; aim accuracy +18%; bullet lifetime +20% per stack,機関砲散布-20%・照準精度+18%・弾寿命+20%/層
UPGRADE_AIM_ASSIST_NAME,瞄准辅助,Aim Assist,照準補助
UPGRADE_AIM_ASSIST_DESC,机炮自动开火允许角度 +25%（每层，上限半角 45°）,Automatic gun-fire cone +25% per stack (45° half-angle cap),機関砲の自動射撃許容角+25%/層（半角45°上限）
UPGRADE_MISSILE_BOOST_NAME,火箭助推,Missile Boost,ミサイルブースト
UPGRADE_MISSILE_BOOST_DESC,导弹冷却 -15%、推进时间 +15%、加速度 +10%（每层）,Missile cooldown -15%; burn time +15%; acceleration +10% per stack,ミサイルCD-15%・燃焼時間+15%・加速度+10%/層
UPGRADE_VAPOR_DODGE_NAME,云雾机动,Vapor Dodge,ベイパードッジ
UPGRADE_VAPOR_DODGE_DESC,高度切换响应 ×2；云中敌人锁定你的速度 -90%,Altitude-change response ×2; enemy lock speed against you in clouds -90%,高度変更応答×2・雲中では敵のロック速度-90%
UPGRADE_ECM_POD_NAME,电子战吊舱,ECM Pod,ECMポッド
UPGRADE_ECM_POD_DESC,敌方雷达对你的有效探测距离 -25%,Enemy radar detection range against you -25%,敵レーダーの対自機有効探知距離-25%
UPGRADE_SHOCK_ABSORB_NAME,冲击吸收,Shock Absorber,衝撃吸収
UPGRADE_SHOCK_ABSORB_DESC,非致命伤害的 40% 会以每秒 1 HP 回复；致命一击不触发,Regenerate 40% of nonlethal damage at 1 HP/s; lethal hits do not trigger it,非致死ダメージの40%を毎秒1HP回復・致死攻撃では発動しない
UPGRADE_EXECUTIONER_NAME,侩子手,Executioner,処刑人
UPGRADE_EXECUTIONER_DESC,连续无伤第 2 杀起每杀叠 1 层（最多 5 层）；每层速度 +5%、减速 +10%、装填 -8%、锁定时间 -10%,"From the 2nd consecutive no-hit kill, gain 1 stack per kill (max 5); each stack: speed +5%, decel +10%, reload -8%, lock time -10%",無被弾連続撃墜の2機目から1機ごとに1層（最大5）・1層ごと速度+5%・減速+10%・装填-8%・ロック時間-10%
UPGRADE_MISSILE_COUNT_NAME,导弹挂架扩展,Missile Rack,ミサイル増設
UPGRADE_MISSILE_COUNT_DESC,导弹携带量 +2（每层，最多 3 层）,Missile capacity +2 per stack (up to 3),ミサイル搭載数+2/層（最大3層）
UPGRADE_MISSILE_TRACKING_NAME,制导升级,Guidance Upgrade,誘導強化
UPGRADE_MISSILE_TRACKING_DESC,导弹机动能力与追踪精度提升,Improved missile maneuverability and tracking precision,ミサイルの機動性と追尾精度が向上
UPGRADE_PROXIMITY_FUZE_NAME,近炸引信,Proximity Fuze,近接信管
UPGRADE_PROXIMITY_FUZE_DESC,导弹接近敌机时自动引爆，产生 AOE 伤害区域,Missile auto-detonates near target creating AOE damage,敵機接近時にミサイル自動起爆、AOEダメージ発生
UPGRADE_MISSILE_BOUNCE_NAME,连锁弹头,Chain Warhead,連鎖弾頭
UPGRADE_MISSILE_BOUNCE_DESC,导弹命中后沿原航向继续穿透；同一枚导弹对同一目标最多命中一次,Missiles continue along their heading after impact; each missile can hit a given target only once,命中後も元の進行方向へ貫通・同じミサイルは同一目標に1回のみ命中
UPGRADE_MISSILE_RELOAD_NAME,快速挂载,Quick Mount,高速装填
UPGRADE_MISSILE_RELOAD_DESC,导弹装填时间 -15%,Missile reload -15%,ミサイル装填 -15%
UPGRADE_MULTI_LOCK_NAME,多目标追踪,Multi-Target Tracking,マルチロック
UPGRADE_MULTI_LOCK_DESC,导弹锁定目标数 +1（每层，最多 3 层）,Missile target locks +1 per stack (max 3),ミサイルロック対象数+1（1スタック毎・最大3）
UPGRADE_MISSILE_SWARM_NAME,导弹蜂群,Missile Swarm,ミサイルスウォーム
UPGRADE_MISSILE_SWARM_DESC,当前王牌导弹挂载 +4、锁定目标数 +3；导弹过载能力 ×0.85,"Current ace: +4 missile slots, +3 target locks; missile G ×0.85",現在のエース：ミサイル+4・ロック対象+3；ミサイルG×0.85
